showName,className,fenceHeight,entryFee,prizeMoney,1st,2nd,3rd,4th,5th,6th,7th,8th,
Norfolk Hunt,SmartPak Jumper Classic,0.95, $80 , $500 , $150 , $125 , $100 , $75 , $25 , $25 , $-   , $-   ,
Norfolk Hunt,Schooling Jumper,1.00, $40 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,
Norfolk Hunt,Modified Child/Adult Amateur Jumper,1.00, $40 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,
Norfolk Hunt,Mor Linn Farm Jumper Classic,1.00, $80 , $500 , $150 , $125 , $100 , $75 , $25 , $25 , $-   , $-   ,
Norfolk Hunt,Pre-Training Jumper,1.10, $40 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,
Norfolk Hunt,Marshall & Sterling Child/Adult Jumper Classic,1.10, $80 , $500 , $150 , $125 , $100 , $75 , $25 , $25 , $-   , $-   ,
Norfolk Hunt,Louisburg Farm Jumper Classic,1.10, $100 , $3,000 , $700 , $550 , $500 , $400 , $250 , $200 , $200 , $200 ,
,,,,,,,,,,,,,
Northampton,Open Jumper,0.90, $45 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,
Northampton,Children's/Adult Jumper,0.90, $50 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,
Northampton,Children's Adult Jumper Classic,0.90, $75 , $500 , $160 , $110 , $85 , $60 , $50 , $45 , $-   , $-   ,
Northampton,Open Jumper,1.00, $45 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,
Northampton,Open Jumper,1.05, $45 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,
Northampton,Open Jumper,1.10, $55 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,
Northampton,Children's/Adult Jumper,1.10, $50 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,
Northampton,Children's Adult Jumper Prix,1.10, $100 , $2,000 , $650 , $490 , $310 , $210 , $170 , $170 , $-   , $-   ,
Northampton,Open Jumper,1.20, $75 , $1,000 , $352 , $245 , $155 , $105 , $85 , $85 , $-   , $-   ,
Northampton,Low Junior/Amateur Jumper,1.20, $50 , $250 , $75 , $55 , $45 , $30 , $25 , $20 , $-   , $-   ,
Northampton,Northampton Classic,1.20, $350 , $7,500 , $2,250 , $1,650 , $1,075 , $700 , $550 , $475 , $400 , $400 ,
,,,,,,,,,,,,,
Fieldstone,Open Jumper,0.90, $40 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,
Fieldstone,Open Jumper Derby,0.90, $60 , $1,000 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,
Fieldstone,Open Jumper,0.95, $40 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,
Fieldstone,Modified Child/Adult Jumper,0.95, $40 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,
Fieldstone,Open Jumper,1.00, $40 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,
Fieldstone,Low Child/Adult Jumper,1.00, $40 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,
Fieldstone,Low Child/Adult Jumper Classic,1.00, $60 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,
Fieldstone,Open Jumper,1.05, $40 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,
Fieldstone,Modified Child/Adult Jumper,1.05, $40 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,
Fieldstone,Open Jumper Derby,1.05, $60 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,
Fieldstone,NEHJA Jumper Champtionship,1.05, $60 , $1,000 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,
Fieldstone,Open Jumper,1.10, $40 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,
Fieldstone,High Child/Adult Jumper,1.10, $40 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,
Fieldstone,High Child/Adult Jumper Classic,1.10, $40 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,
Fieldstone,M&S/WIHS Children's/Adult Jumper Classic,1.10, $120 , $2,500 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,
Fieldstone,Open Jumper,1.15, $40 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,
Fieldstone,NEHJA Jumper Champtionship,1.15, $100 , $2,000 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,
Fieldstone,Open Jumper,1.20, $60 , $500 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,
Fieldstone,Open Jumper Classic,1.20, $100 , $2,000 , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,
